PLAYER_NAME,GAME_ID,GAME_DATE,TEAM,SEASON,MIN,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,REB,AST,TOV,STL,BLK,OREB,DREB,PF,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT
Anthony Edwards,401810176,2025-12-03,MIN,2025-26,47.0,44.0,16.0,30.0,6.0,13.0,6.0,8.0,5.0,4.0,3.0,0.0,1.0,0.0,5.0,4.0,14.0,0.5333333333333333,0.46153846153846156,0.75
Anthony Edwards,401810192,2025-12-05,MIN,2025-26,31.0,11.0,3.0,6.0,2.0,3.0,3.0,3.0,6.0,4.0,8.0,1.0,3.0,0.0,6.0,4.0,10.0,0.5,0.6666666666666666,1.0
Bam Adebayo,401809934,2025-10-22,MIA,2025-26,34.0,15.0,4.0,13.0,1.0,5.0,6.0,7.0,12.0,2.0,4.0,0.0,0.0,3.0,9.0,3.0,-2.0,0.3076923076923077,0.2,0.8571428571428571
Bam Adebayo,401809948,2025-10-25,MIA,2025-26,28.0,24.0,8.0,19.0,4.0,8.0,4.0,4.0,5.0,4.0,1.0,1.0,0.0,1.0,4.0,2.0,25.0,0.42105263157894735,0.5,1.0
Bam Adebayo,401809963,2025-10-26,MIA,2025-26,38.0,19.0,5.0,15.0,1.0,5.0,8.0,8.0,13.0,3.0,6.0,1.0,0.0,1.0,12.0,1.0,10.0,0.3333333333333333,0.2,1.0
Bam Adebayo,401809979,2025-10-28,MIA,2025-26,30.0,26.0,10.0,16.0,3.0,5.0,3.0,4.0,6.0,2.0,1.0,0.0,0.0,1.0,5.0,2.0,29.0,0.625,0.6,0.75
Bam Adebayo,401809996,2025-10-31,MIA,2025-26,37.0,31.0,12.0,27.0,4.0,13.0,3.0,4.0,10.0,3.0,2.0,1.0,1.0,1.0,9.0,2.0,7.0,0.4444444444444444,0.3076923076923077,0.75
Bam Adebayo,401810010,2025-11-03,MIA,2025-26,36.0,17.0,6.0,11.0,1.0,5.0,4.0,4.0,8.0,5.0,0.0,3.0,1.0,1.0,7.0,1.0,-13.0,0.5454545454545454,0.2,1.0
Bam Adebayo,401810019,2025-11-04,MIA,2025-26,30.0,25.0,10.0,18.0,2.0,4.0,3.0,5.0,10.0,4.0,2.0,2.0,0.0,0.0,10.0,1.0,2.0,0.5555555555555556,0.5,0.6
Bam Adebayo,401810033,2025-11-06,MIA,2025-26,8.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.2,0.0,
Bam Adebayo,401810112,2025-11-20,MIA,2025-26,29.0,20.0,7.0,13.0,3.0,4.0,3.0,3.0,7.0,3.0,1.0,1.0,2.0,1.0,6.0,1.0,15.0,0.5384615384615384,0.75,1.0
Bam Adebayo,401809793,2025-11-22,MIA,2025-26,29.0,18.0,4.0,11.0,2.0,5.0,8.0,10.0,7.0,5.0,1.0,0.0,3.0,1.0,6.0,3.0,24.0,0.36363636363636365,0.4,0.8
Bam Adebayo,401810130,2025-11-23,MIA,2025-26,33.0,18.0,7.0,14.0,1.0,4.0,3.0,4.0,13.0,1.0,2.0,1.0,0.0,3.0,10.0,1.0,4.0,0.5,0.25,0.75
Bam Adebayo,401810141,2025-11-25,MIA,2025-26,29.0,17.0,5.0,13.0,0.0,3.0,7.0,11.0,6.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,-16.0,0.38461538461538464,0.0,0.6363636363636364
Bam Adebayo,401809804,2025-11-27,MIA,2025-26,29.0,17.0,7.0,16.0,1.0,5.0,2.0,2.0,11.0,2.0,1.0,0.0,1.0,0.0,11.0,0.0,-11.0,0.4375,0.2,1.0
Bam Adebayo,401810151,2025-11-30,MIA,2025-26,33.0,15.0,5.0,9.0,1.0,2.0,4.0,6.0,10.0,1.0,3.0,2.0,1.0,2.0,8.0,1.0,14.0,0.5555555555555556,0.5,0.6666666666666666
Bam Adebayo,401810168,2025-12-02,MIA,2025-26,32.0,27.0,10.0,17.0,5.0,8.0,2.0,2.0,14.0,3.0,1.0,2.0,2.0,3.0,11.0,0.0,33.0,0.5882352941176471,0.625,1.0
Bam Adebayo,401810187,2025-12-04,MIA,2025-26,28.0,21.0,10.0,19.0,1.0,6.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,-6.0,0.5263157894736842,0.16666666666666666,
Bam Adebayo,401810194,2025-12-06,MIA,2025-26,26.0,23.0,9.0,14.0,2.0,3.0,3.0,4.0,7.0,2.0,4.0,2.0,2.0,1.0,6.0,1.0,-4.0,0.6428571428571429,0.6666666666666666,0.75
CJ McCollum,401809939,2025-10-23,WSH,2025-26,29.0,9.0,4.0,14.0,0.0,6.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0,-19.0,0.2857142857142857,0.0,1.0
CJ McCollum,401809950,2025-10-25,WSH,2025-26,33.0,6.0,2.0,8.0,1.0,4.0,1.0,2.0,2.0,5.0,2.0,1.0,0.0,1.0,1.0,2.0,10.0,0.25,0.25,0.5
CJ McCollum,401809964,2025-10-26,WSH,2025-26,30.0,24.0,8.0,20.0,4.0,11.0,4.0,6.0,6.0,5.0,1.0,0.0,0.0,1.0,5.0,2.0,-5.0,0.4,0.36363636363636365,0.6666666666666666
CJ McCollum,401809978,2025-10-28,WSH,2025-26,40.0,14.0,4.0,14.0,2.0,6.0,4.0,4.0,1.0,7.0,1.0,1.0,0.0,0.0,1.0,4.0,7.0,0.2857142857142857,0.3333333333333333,1.0
CJ McCollum,401809995,2025-10-31,WSH,2025-26,24.0,19.0,6.0,10.0,5.0,8.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,-5.0,0.6,0.625,1.0
CJ McCollum,401810000,2025-11-01,WSH,2025-26,22.0,13.0,5.0,12.0,3.0,4.0,0.0,0.0,5.0,1.0,3.0,2.0,0.0,1.0,4.0,2.0,-20.0,0.4166666666666667,0.75,
CJ McCollum,401810014,2025-11-04,WSH,2025-26,22.0,5.0,2.0,9.0,1.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-15.0,0.2222222222222222,0.16666666666666666,
CJ McCollum,401810029,2025-11-06,WSH,2025-26,18.0,3.0,1.0,10.0,0.0,4.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,-9.0,0.1,0.0,1.0
CJ McCollum,401809511,2025-11-08,WSH,2025-26,28.0,25.0,8.0,16.0,6.0,13.0,3.0,4.0,2.0,3.0,3.0,1.0,0.0,0.0,2.0,4.0,-28.0,0.5,0.46153846153846156,0.75
CJ McCollum,401810038,2025-11-09,WSH,2025-26,33.0,25.0,9.0,19.0,2.0,6.0,5.0,6.0,6.0,2.0,3.0,2.0,2.0,1.0,5.0,3.0,-11.0,0.47368421052631576,0.3333333333333333,0.8333333333333334
CJ McCollum,401810054,2025-11-11,WSH,2025-26,43.0,42.0,14.0,25.0,5.0,10.0,9.0,11.0,6.0,4.0,4.0,1.0,0.0,1.0,5.0,3.0,9.0,0.56,0.5,0.8181818181818182
CJ McCollum,401810073,2025-11-13,WSH,2025-26,29.0,10.0,2.0,11.0,2.0,5.0,4.0,5.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,-8.0,0.18181818181818182,0.4,0.8
CJ McCollum,401810090,2025-11-16,WSH,2025-26,32.0,17.0,6.0,12.0,3.0,7.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,0.5,0.42857142857142855,1.0
CJ McCollum,401810114,2025-11-20,WSH,2025-26,31.0,14.0,6.0,15.0,2.0,6.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.4,0.3333333333333333,
CJ McCollum,401809792,2025-11-22,WSH,2025-26,26.0,20.0,8.0,15.0,2.0,7.0,2.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,-11.0,0.5333333333333333,0.2857142857142857,0.6666666666666666
CJ McCollum,401810126,2025-11-23,WSH,2025-26,27.0,18.0,7.0,15.0,3.0,5.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,5.0,-7.0,0.4666666666666667,0.6,1.0
CJ McCollum,401809799,2025-11-26,WSH,2025-26,37.0,46.0,17.0,25.0,10.0,13.0,2.0,4.0,5.0,4.0,2.0,1.0,0.0,0.0,5.0,1.0,19.0,0.68,0.7692307692307693,0.5
CJ McCollum,401809815,2025-11-29,WSH,2025-26,30.0,11.0,5.0,13.0,1.0,5.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,-20.0,0.38461538461538464,0.2,
CJ McCollum,401810166,2025-12-02,WSH,2025-26,36.0,28.0,11.0,21.0,4.0,11.0,2.0,3.0,4.0,5.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,0.5238095238095238,0.36363636363636365,0.6666666666666666
CJ McCollum,401810173,2025-12-03,WSH,2025-26,24.0,10.0,5.0,14.0,0.0,7.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,0.0,3.0,2.0,-10.0,0.35714285714285715,0.0,
CJ McCollum,401810189,2025-12-05,WSH,2025-26,31.0,22.0,7.0,15.0,3.0,8.0,5.0,5.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,-22.0,0.4666666666666667,0.375,1.0
Cade Cunningham,401809937,2025-10-23,DET,2025-26,34.0,23.0,8.0,24.0,1.0,6.0,6.0,10.0,7.0,10.0,3.0,1.0,0.0,2.0,5.0,6.0,-6.0,0.3333333333333333,0.16666666666666666,0.6
Cade Cunningham,401809947,2025-10-25,DET,2025-26,39.0,21.0,7.0,16.0,3.0,8.0,4.0,5.0,7.0,9.0,8.0,0.0,1.0,1.0,6.0,3.0,7.0,0.4375,0.375,0.8
